crop_type,sensor_nitrogen,sensor_phosphorus,sensor_potassium,soil_pH,soil_moisture_percent,soil_electrical_conductivity_us_cm,soil_temperature_celsius,fertilizer_urea_kg_per_ha,fertilizer_dap_kg_per_ha,fertilizer_map_kg_per_ha,fertilizer_mop_kg_per_ha,fertilizer_sop_kg_per_ha,fertilizer_can_kg_per_ha,fertilizer_ssp_kg_per_ha,fertilizer_ammonium_sulfate_kg_per_ha
Groundnut,349.0,28.07,233.1,7.89,39.9,317.18,26.88,50.0,82.84,37.59,49.68,19.51,20.0,150.0,20.0
Sorghum,200.63,16.75,291.75,6.16,11.09,1994.15,27.7,50.0,20.0,10.0,30.0,10.0,20.0,113.37,20.0
Wheat,232.24,60.31,255.54,6.54,39.9,304.55,24.91,138.47,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Sorghum,277.71,67.67,225.3,6.42,39.9,1565.53,35.0,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,142.1,70.0,342.01,5.91,23.82,1525.65,20.5,128.5,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Rice,321.39,12.26,137.58,6.69,12.78,975.97,29.29,50.0,76.1,42.43,30.0,10.0,20.0,150.0,20.0
Barley,137.89,33.46,140.9,6.89,10.0,1344.36,19.95,109.05,22.03,10.0,30.0,10.0,81.17,80.67,74.89
Groundnut,179.96,35.73,201.91,6.49,30.48,524.38,27.7,50.0,55.78,24.56,49.27,22.37,20.0,150.0,20.0
Barley,242.16,64.96,252.57,5.81,13.25,1852.64,13.65,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,349.0,29.9,314.56,7.62,18.44,445.39,15.32,50.0,30.63,11.92,30.0,10.0,20.0,140.7,20.0
Wheat,127.88,33.22,100.0,5.97,17.28,733.8,17.58,200.0,30.53,10.0,63.19,32.26,100.0,143.49,100.0
Sorghum,214.0,49.26,229.07,5.93,14.59,229.94,29.03,50.0,20.0,10.0,30.0,10.0,28.96,30.0,39.46
Soybean,211.48,39.61,294.81,7.45,39.9,902.0,22.19,50.0,23.34,10.0,30.0,10.0,20.0,108.18,20.0
Wheat,349.0,25.52,159.65,6.01,35.39,1458.21,18.29,50.0,21.54,10.0,30.0,10.0,20.0,117.62,20.0
Maize,183.08,11.85,347.99,6.38,20.93,1201.8,29.75,152.45,94.7,39.04,30.0,10.0,100.0,150.0,100.0
Groundnut,82.51,10.23,100.0,5.94,18.54,710.61,24.86,50.0,100.0,50.0,100.0,50.0,34.32,150.0,32.16
Cotton,230.48,25.29,140.5,6.83,26.98,250.91,29.16,70.27,57.27,28.07,58.8,31.15,76.62,150.0,68.04
Barley,81.0,20.62,137.96,7.43,14.33,1051.85,26.62,138.48,61.87,19.55,30.0,10.0,100.0,150.0,100.0
Barley,82.73,13.62,174.95,6.78,10.0,301.41,22.72,200.0,100.0,47.53,30.0,10.0,100.0,150.0,100.0
Sorghum,199.98,64.2,277.56,6.26,18.43,1178.57,25.79,50.0,20.0,10.0,30.0,10.0,23.49,30.0,20.0
Wheat,127.05,37.13,104.18,6.77,15.63,166.06,21.34,200.0,20.0,10.0,53.26,23.06,100.0,71.14,100.0
Groundnut,269.82,62.51,170.23,7.41,31.52,420.07,25.8,50.0,20.0,10.0,96.1,41.07,20.0,30.0,20.0
Rice,304.62,28.49,301.13,7.1,11.39,1420.19,27.35,50.0,37.37,13.54,30.0,10.0,20.0,150.0,20.0
Maize,185.53,14.3,115.76,6.84,16.27,1523.43,27.66,146.76,72.54,36.4,39.49,16.76,100.0,150.0,100.0
Maize,133.42,21.09,351.66,6.65,25.06,545.89,26.88,191.95,70.82,35.89,30.0,10.0,100.0,150.0,100.0
Wheat,220.34,50.32,331.03,7.21,19.39,1447.52,20.02,50.0,20.0,10.0,30.0,10.0,42.52,30.0,54.95
Groundnut,349.0,70.0,311.55,7.99,33.19,1348.95,26.46,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Rice,274.46,22.15,109.28,7.22,35.99,508.24,33.24,50.0,95.41,40.72,35.8,10.31,27.94,150.0,24.64
Sorghum,160.11,24.52,103.27,5.55,22.9,543.6,34.17,102.24,53.99,22.3,37.84,10.63,83.64,150.0,77.59
Soybean,204.74,70.0,185.65,7.38,39.21,619.96,28.44,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Sorghum,81.0,65.98,170.47,6.97,30.54,718.32,30.61,118.63,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Cotton,271.75,39.47,399.0,7.95,17.4,1443.01,28.29,50.0,20.0,10.0,30.0,10.0,29.58,33.33,22.59
Soybean,122.03,44.79,280.71,6.51,25.78,566.37,25.64,50.0,20.0,10.0,30.0,10.0,46.16,63.28,43.09
Wheat,179.12,65.28,280.7,6.93,15.24,249.22,18.59,178.01,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Barley,151.22,60.77,292.09,7.87,34.31,1172.25,15.7,74.94,20.0,10.0,30.0,10.0,60.52,30.0,61.53
Wheat,349.0,29.56,181.11,7.47,39.9,248.87,24.53,50.0,37.39,17.13,30.0,10.0,20.0,150.0,20.0
Barley,334.62,38.49,173.37,7.42,24.82,1617.01,18.63,50.0,20.0,12.66,30.0,10.0,20.0,30.0,20.0
Groundnut,93.88,26.93,378.91,6.09,13.81,187.75,28.02,50.0,85.87,36.98,30.0,10.0,20.0,150.0,20.0
Barley,242.88,45.59,399.0,7.72,30.97,1957.23,20.88,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Sorghum,204.71,29.55,249.41,6.33,21.07,1603.01,28.0,50.0,20.0,10.0,30.0,10.0,20.0,48.14,20.0
Cotton,151.47,36.89,207.41,6.83,13.79,166.75,24.13,200.0,38.12,16.63,53.2,22.98,100.0,150.0,100.0
Sorghum,310.32,48.89,204.27,7.46,35.87,1564.23,33.02,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,349.0,70.0,202.95,7.77,39.9,717.48,21.78,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,143.41,28.09,100.0,5.58,16.23,1220.67,25.76,200.0,76.52,34.22,66.72,29.51,100.0,150.0,100.0
Barley,84.28,19.91,227.43,5.78,22.21,1932.92,17.81,62.48,24.91,10.96,30.0,10.0,67.54,141.94,59.6
Sorghum,117.81,39.14,183.8,6.27,23.37,156.41,30.32,154.36,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Groundnut,162.81,19.04,143.08,6.68,29.23,1172.48,31.73,50.0,67.38,29.72,63.61,31.71,20.0,150.0,20.0
Maize,87.34,21.59,103.44,6.19,22.39,1193.05,23.34,200.0,79.89,31.49,52.7,19.07,100.0,150.0,100.0
Barley,217.87,19.42,180.18,7.2,10.0,345.14,17.24,50.81,82.87,30.14,30.0,10.0,55.51,150.0,52.77
Sorghum,234.58,56.91,191.75,7.35,13.84,1160.98,29.49,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,214.13,34.01,181.42,7.87,11.33,936.0,24.12,92.75,22.78,10.0,30.0,10.0,94.22,84.92,89.26
Wheat,112.69,70.0,158.27,7.02,32.64,323.32,25.38,195.79,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Maize,258.88,42.4,309.65,6.67,24.16,284.93,24.67,120.78,30.79,17.48,30.0,10.0,100.0,150.0,99.45
Sorghum,190.87,24.54,165.58,6.99,10.29,1868.0,28.21,50.0,28.84,12.11,30.0,10.0,21.88,99.48,20.0
Groundnut,231.31,23.7,223.66,6.37,23.73,1970.93,28.02,50.0,21.67,10.98,30.0,10.0,20.0,126.28,20.0
Groundnut,132.0,69.27,296.56,6.66,20.91,1748.16,29.24,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,200.67,32.05,200.85,5.67,10.0,401.84,30.72,50.0,100.0,46.77,83.66,38.36,20.0,150.0,20.0
Sorghum,349.0,10.9,298.62,6.37,19.39,1232.88,29.46,50.0,41.73,19.54,30.0,10.0,20.0,150.0,20.0
Maize,264.34,13.36,254.29,6.49,30.99,1734.43,22.52,68.6,55.53,23.97,30.0,10.0,51.01,150.0,49.84
Cotton,114.33,28.8,105.09,6.95,10.0,1341.22,21.04,191.15,51.37,19.7,81.46,35.14,100.0,150.0,100.0
Cotton,187.38,28.59,230.02,6.22,10.0,1393.32,23.29,106.59,36.46,11.46,30.0,10.57,97.56,150.0,83.48
Groundnut,326.01,32.65,348.9,7.59,22.11,1408.21,28.69,50.0,31.52,18.57,30.0,10.0,20.0,150.0,20.0
Soybean,204.91,65.19,149.95,6.51,20.9,1760.49,27.87,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,239.65,22.24,239.66,7.08,31.49,1611.28,19.76,50.0,31.78,10.0,30.0,10.0,20.0,113.86,20.0
Rice,81.0,12.31,143.12,6.72,10.0,1946.9,24.4,93.67,41.67,18.88,30.0,10.0,74.19,150.0,81.01
Rice,338.51,37.46,399.0,6.71,26.41,237.78,22.9,50.0,36.99,15.07,30.0,10.0,20.0,150.0,20.0
Barley,162.77,55.75,100.0,6.87,16.92,889.15,21.43,102.37,20.0,10.0,41.02,14.12,84.74,30.0,71.89
Wheat,98.73,28.83,395.18,7.33,26.23,1764.92,19.06,103.5,20.0,10.0,30.0,10.0,86.92,57.87,70.01
Maize,81.0,21.18,100.0,6.57,15.1,1115.99,18.05,200.0,100.0,48.55,71.03,35.3,100.0,150.0,100.0
Groundnut,167.71,53.78,161.54,6.67,39.17,407.29,26.14,50.0,20.0,10.0,83.41,34.07,20.0,62.29,20.0
Soybean,223.72,23.82,305.94,5.91,12.5,852.9,24.22,50.0,81.31,35.44,30.0,10.0,20.0,150.0,20.0
Cotton,146.05,33.95,175.02,5.8,23.61,180.8,21.69,200.0,46.03,18.28,58.1,32.89,100.0,150.0,100.0
Rice,349.0,61.66,399.0,7.41,39.39,1411.83,28.88,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,233.81,21.72,167.28,5.73,16.36,454.05,27.98,50.0,100.0,50.0,94.39,42.25,20.0,150.0,20.0
Groundnut,230.51,43.56,322.69,7.33,19.47,1120.17,31.93,50.0,24.53,15.67,30.0,10.0,20.0,146.37,20.0
Cotton,81.58,44.19,126.52,6.49,23.24,1410.24,26.87,100.91,20.0,10.0,36.99,17.87,96.1,30.0,91.07
Rice,308.2,44.47,381.57,6.06,30.73,904.6,27.45,50.0,20.0,10.0,30.0,10.0,20.0,51.81,20.0
Rice,213.97,70.0,285.38,6.92,10.83,672.76,31.89,78.99,20.0,10.0,30.0,10.0,72.56,30.0,66.52
Groundnut,81.0,13.05,100.0,5.98,10.53,279.58,25.64,64.73,100.0,50.0,100.0,50.0,51.59,150.0,38.5
Barley,237.95,22.6,288.72,7.11,39.9,1499.76,22.84,50.0,42.29,15.4,30.0,10.0,20.66,150.0,20.0
Rice,153.92,46.21,165.95,6.83,13.71,141.23,28.53,175.91,20.0,10.0,30.0,10.0,100.0,75.3,100.0
Cotton,247.17,54.72,325.58,5.81,23.64,1298.4,24.46,63.42,20.0,10.0,30.0,10.0,37.31,30.0,36.09
Maize,292.83,30.56,156.05,6.51,10.0,472.44,22.58,173.65,100.0,44.46,47.37,29.65,100.0,150.0,100.0
Soybean,330.87,59.75,381.36,7.15,39.9,485.85,25.51,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,107.92,58.55,292.42,6.79,28.6,1696.55,28.63,50.0,20.0,10.0,30.0,10.0,28.27,30.0,23.19
Soybean,265.85,13.33,121.89,6.11,16.39,1543.73,24.35,50.0,55.32,21.59,30.0,10.0,20.0,150.0,20.0
Wheat,127.87,52.72,300.25,6.34,10.0,1808.39,23.61,103.25,20.0,10.0,30.0,10.0,90.25,30.0,90.39
Wheat,213.34,24.59,115.97,6.36,11.36,1201.51,22.04,92.63,38.12,19.38,30.0,19.35,86.18,143.92,84.17
Soybean,132.3,47.11,289.27,6.29,22.47,924.64,23.02,54.85,20.0,10.0,30.0,10.0,40.47,42.75,43.76
Soybean,165.99,52.4,164.26,5.83,23.52,1993.59,25.84,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,207.39,34.78,306.14,7.13,39.9,745.83,32.59,50.0,57.37,27.17,30.0,10.0,20.0,150.0,20.0
Groundnut,136.58,14.89,399.0,6.36,21.23,1767.61,30.08,50.0,48.24,18.35,30.0,10.0,20.0,150.0,20.0
Maize,314.48,31.7,283.15,7.22,26.78,969.23,19.48,84.22,57.39,24.8,30.0,10.0,65.93,150.0,61.55
Groundnut,137.52,59.61,399.0,6.27,38.79,338.2,32.52,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,263.0,54.41,300.61,5.91,19.81,989.95,27.91,50.0,20.0,10.0,30.0,10.0,20.0,36.85,20.0
Sorghum,81.0,14.09,215.4,6.77,11.03,761.18,34.37,173.47,76.45,38.68,30.0,10.0,100.0,150.0,100.0
Sorghum,195.25,25.94,111.15,6.54,10.36,1244.67,32.2,50.0,20.0,10.0,30.0,10.0,35.14,121.3,31.0
Groundnut,191.57,10.0,193.68,5.8,23.13,1175.3,24.1,50.0,100.0,43.96,51.81,23.81,20.0,150.0,20.0
Rice,340.38,54.33,156.79,6.74,39.22,1275.9,28.29,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Cotton,349.0,29.65,217.48,7.99,18.99,1364.41,31.53,50.0,28.91,12.13,30.0,10.0,20.0,135.39,20.0
Barley,349.0,41.49,399.0,6.52,12.72,434.11,14.52,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Sorghum,96.99,34.62,194.81,5.52,10.0,1667.46,30.07,89.87,20.0,10.0,30.0,10.0,72.08,31.48,60.91
Groundnut,349.0,60.59,234.23,6.03,33.05,846.61,35.0,50.0,20.0,10.0,41.24,13.27,20.0,30.0,20.0
Wheat,196.42,22.2,231.5,6.28,10.0,1059.6,22.64,126.38,39.76,24.54,30.0,10.0,100.0,150.0,100.0
Sorghum,251.22,26.59,216.35,5.93,23.28,1420.87,33.02,50.0,22.21,10.0,30.0,10.0,20.0,100.2,20.0
Sorghum,259.83,30.83,264.12,7.35,23.01,1099.66,31.13,50.0,20.0,10.0,30.0,10.0,20.0,65.2,20.0
Cotton,245.98,49.46,325.27,6.94,38.85,1381.66,29.48,63.22,20.0,10.0,30.0,10.0,54.44,30.0,44.89
Barley,122.74,29.15,111.73,6.25,10.68,569.33,24.33,187.53,40.19,20.91,36.18,21.88,100.0,150.0,100.0
Sorghum,238.35,46.37,148.72,6.89,10.85,1984.16,35.0,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,123.54,48.44,202.54,6.76,17.96,1831.03,20.43,72.91,20.0,10.0,30.0,10.0,52.95,30.0,44.06
Sorghum,172.46,16.57,114.9,6.46,13.14,1750.69,29.62,50.0,32.29,15.63,30.0,10.0,33.43,132.22,27.15
Sorghum,260.3,16.6,155.56,6.52,22.5,1796.48,25.06,50.0,27.04,10.31,30.0,10.0,20.0,132.58,20.0
Groundnut,115.28,62.75,275.94,6.25,16.73,1316.33,25.77,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,219.98,34.08,371.65,5.96,29.03,1339.51,28.69,119.39,31.81,19.71,30.0,10.0,100.0,150.0,98.52
Barley,155.28,18.75,213.35,6.21,30.84,1775.55,18.82,50.0,22.0,12.93,30.0,10.0,38.3,150.0,40.44
Wheat,180.09,70.0,333.55,6.76,18.91,257.51,15.55,136.49,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Cotton,257.55,54.89,132.63,7.41,23.88,1334.16,22.35,50.75,20.0,10.0,45.75,21.27,44.64,30.0,31.31
Barley,100.55,29.85,392.32,7.4,15.88,140.71,17.12,167.23,29.04,10.0,30.0,10.0,100.0,150.0,100.0
Wheat,168.58,48.63,116.32,6.28,10.0,1406.13,17.06,146.45,20.0,10.0,34.14,11.49,100.0,30.0,100.0
Maize,279.18,18.52,272.89,6.6,39.9,1840.71,22.9,50.0,34.64,17.67,30.0,10.0,50.34,150.0,46.69
Sorghum,252.46,22.81,246.47,6.49,10.0,884.72,27.45,50.0,36.89,10.89,30.0,10.0,20.0,150.0,20.0
Sorghum,291.25,59.14,262.44,6.07,16.12,1914.78,27.26,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Cotton,210.29,18.03,179.41,5.88,16.65,585.27,23.24,130.35,79.35,38.73,52.72,22.18,93.65,150.0,91.93
Rice,173.67,35.13,101.92,7.02,17.93,295.97,29.42,138.78,55.67,22.33,37.16,13.29,100.0,150.0,100.0
Groundnut,289.7,24.28,312.27,7.03,34.96,792.08,33.94,50.0,100.0,41.89,30.0,10.0,20.0,150.0,20.0
Rice,268.16,13.18,399.0,7.74,33.97,215.44,23.75,50.0,98.5,46.77,30.0,10.0,26.05,150.0,22.35
Maize,179.47,36.85,229.36,7.28,12.25,1969.86,25.63,90.68,23.99,10.66,30.0,10.0,84.81,132.98,84.25
Barley,191.89,26.87,238.63,6.2,11.47,314.78,18.19,78.78,52.67,19.95,30.0,10.0,69.91,150.0,67.38
Groundnut,159.75,35.7,332.84,6.55,28.4,1738.08,32.77,50.0,23.15,10.0,30.0,10.0,20.0,107.56,20.0
Sorghum,81.0,33.97,100.0,6.15,18.22,370.68,34.36,188.06,20.0,10.01,37.45,23.67,100.0,55.61,100.0
Barley,219.43,18.62,119.92,6.38,10.0,1710.23,16.8,50.0,44.4,18.57,30.0,10.0,27.53,150.0,20.35
Cotton,119.1,66.42,399.0,6.35,29.48,1035.42,31.42,140.49,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Sorghum,203.91,38.03,221.85,6.85,17.76,380.24,23.46,50.0,20.0,10.0,30.0,10.0,40.28,30.0,30.07
Barley,103.28,49.38,220.46,6.6,38.88,1650.94,15.17,63.65,20.0,10.0,30.0,10.0,57.31,30.0,61.99
Cotton,258.41,60.16,262.35,7.31,27.35,702.54,34.91,72.95,20.0,10.0,30.0,10.0,73.01,30.0,71.9
Cotton,200.08,55.29,294.11,7.21,10.85,1659.67,34.09,82.39,20.0,10.0,30.0,10.0,72.51,30.0,64.1
Sorghum,81.0,47.88,147.44,5.88,10.19,1869.59,30.27,68.7,20.0,10.0,30.0,10.0,55.82,30.0,44.9
Sorghum,219.81,14.14,204.16,6.69,15.17,1354.36,25.52,50.0,38.56,20.41,30.0,10.0,20.0,150.0,20.0
Maize,297.61,35.17,175.68,5.84,19.91,1401.16,19.71,68.76,49.32,21.6,30.0,11.48,74.8,150.0,77.35
Cotton,152.61,15.51,200.72,6.3,28.23,601.79,27.94,148.54,79.08,35.17,40.56,18.92,100.0,150.0,100.0
Wheat,234.75,32.13,202.5,6.41,14.54,1389.64,16.22,51.6,26.3,10.0,30.0,10.0,72.4,75.53,61.96
Cotton,202.46,13.4,191.02,6.99,18.59,1620.46,24.61,86.4,59.89,24.42,30.76,10.21,59.43,150.0,59.42
Groundnut,203.32,18.7,155.59,5.98,10.0,299.65,26.8,50.0,100.0,50.0,100.0,50.0,20.0,150.0,20.0
Soybean,315.26,65.21,238.34,6.04,34.26,1970.22,24.24,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,249.35,38.79,399.0,5.82,36.5,1011.5,23.63,129.66,36.89,22.93,30.0,10.0,100.0,150.0,94.71
Sorghum,303.51,24.58,367.65,7.11,18.47,824.41,30.0,50.0,20.0,10.0,30.0,10.0,20.0,104.49,20.0
Soybean,216.5,31.0,126.64,6.2,13.97,1516.77,27.8,50.0,35.81,15.95,30.0,10.0,20.0,150.0,20.0
Soybean,286.7,62.0,135.48,7.32,26.28,175.53,26.7,50.0,20.0,10.0,43.19,20.21,20.0,30.0,20.0
Groundnut,128.28,29.74,399.0,6.96,37.61,1087.64,27.26,50.0,49.73,22.19,30.0,10.0,20.0,150.0,20.0
Maize,183.72,21.13,297.98,7.68,39.9,1810.61,25.91,94.63,39.84,19.42,30.0,10.0,71.13,150.0,69.36
Barley,276.48,42.22,240.17,5.99,10.0,1939.85,16.53,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,236.11,50.08,103.33,6.23,10.0,1911.29,25.73,50.0,20.0,10.0,30.0,10.84,20.0,30.0,20.0
Sorghum,235.07,61.76,212.15,6.52,14.79,767.26,30.47,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,112.44,50.42,365.65,6.6,33.26,990.91,20.01,81.57,20.0,10.0,30.0,10.0,76.92,30.0,67.42
Cotton,317.1,41.54,125.35,5.82,27.97,860.97,24.88,50.0,20.0,10.0,58.47,27.59,22.93,50.52,27.06
Rice,92.12,49.65,340.12,6.07,31.65,1932.23,35.0,50.0,20.0,10.0,30.0,10.0,48.5,30.0,51.94
Cotton,142.35,32.13,185.53,6.75,10.39,527.44,25.55,180.41,41.89,12.93,46.19,23.53,100.0,150.0,100.0
Wheat,177.7,28.26,206.09,6.15,13.04,710.04,21.64,199.65,54.65,22.77,30.0,10.0,100.0,150.0,100.0
Groundnut,262.69,27.49,399.0,7.88,39.9,476.89,26.17,50.0,90.45,36.81,30.0,10.0,20.0,150.0,20.0
Sorghum,101.43,11.31,106.15,6.29,23.23,882.8,34.24,137.46,76.32,32.99,30.0,13.38,100.0,150.0,100.0
Cotton,170.95,55.71,100.0,5.91,21.37,698.95,28.01,165.16,20.0,10.0,89.95,43.32,100.0,30.0,100.0
Soybean,241.63,26.11,100.0,6.28,10.0,1391.29,24.98,50.0,59.65,25.59,44.74,15.86,20.0,150.0,20.0
Barley,109.3,60.03,328.72,6.96,33.6,1029.53,16.28,109.0,20.0,10.0,30.0,10.0,94.25,30.0,82.35
Soybean,288.49,16.33,170.25,7.39,23.16,1117.29,30.22,50.0,88.4,37.67,30.0,10.0,20.0,150.0,20.0
Maize,167.25,37.17,399.0,6.78,19.57,463.98,18.18,200.0,47.86,22.21,30.0,10.0,100.0,150.0,100.0
Maize,165.33,57.74,233.5,6.61,14.33,932.22,22.89,198.38,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Barley,155.94,56.86,217.55,7.09,29.83,1075.98,22.04,65.1,20.0,10.0,30.0,10.0,59.65,30.0,57.84
Cotton,267.87,60.72,166.87,6.77,16.64,1928.01,23.76,50.0,20.0,10.0,30.0,10.3,20.0,30.0,22.01
Barley,185.1,25.97,216.68,6.67,10.34,1243.26,24.11,77.2,55.28,16.17,30.0,10.0,70.6,150.0,66.66
Sorghum,188.03,54.28,109.7,6.61,16.66,1339.81,31.97,50.0,20.0,10.0,30.0,10.0,32.09,30.0,31.2
Barley,152.83,27.67,163.39,6.88,20.26,537.03,18.02,111.64,34.18,20.13,30.0,10.0,99.25,150.0,99.97
Barley,113.52,43.21,218.43,5.57,10.0,1322.47,22.53,136.94,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Cotton,296.68,28.88,179.05,5.83,13.71,1550.44,24.44,50.0,39.71,12.28,30.0,15.57,34.17,137.6,29.85
Cotton,218.84,32.81,234.01,7.05,10.0,588.93,21.55,150.73,52.26,24.95,30.0,14.86,100.0,150.0,100.0
Rice,168.32,35.14,338.3,6.64,29.74,918.69,27.81,80.52,33.04,10.04,30.0,10.0,70.69,146.9,61.25
Sorghum,110.45,30.38,399.0,7.23,39.9,1748.33,31.28,50.0,20.0,10.0,30.0,10.0,41.99,30.0,39.6
Groundnut,154.22,21.7,216.99,6.41,19.16,458.29,25.75,50.0,100.0,50.0,59.83,30.81,20.0,150.0,20.0
Rice,297.39,66.33,318.54,6.98,28.83,1408.73,26.47,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,238.1,46.51,110.92,6.98,12.51,1915.16,18.34,50.0,20.0,10.0,30.0,10.94,20.0,30.0,20.0
Barley,148.93,10.97,153.95,6.34,14.8,1991.53,17.29,50.0,39.97,17.06,30.0,10.0,37.45,150.0,35.47
Wheat,213.02,46.99,102.62,7.13,30.85,1371.81,22.97,75.87,20.0,10.0,36.05,11.71,70.84,30.0,65.03
Groundnut,97.8,55.81,320.8,7.07,23.65,428.46,26.34,50.0,20.0,10.0,30.0,10.0,21.78,30.0,20.0
Soybean,223.56,12.07,163.33,6.94,23.34,1034.44,24.65,50.0,91.34,42.86,30.0,10.0,20.0,150.0,20.0
Soybean,172.26,10.0,252.2,5.93,17.93,1927.22,23.71,50.0,45.21,16.65,30.0,10.0,20.0,150.0,20.0
Wheat,81.0,54.95,167.44,6.34,24.5,1896.19,24.48,93.65,20.0,10.0,30.0,10.0,84.41,30.0,69.92
Cotton,339.98,50.56,359.55,7.9,39.9,563.3,33.09,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,105.59,10.24,216.71,5.98,32.3,1853.12,24.82,115.5,36.42,19.13,30.0,10.0,86.97,150.0,84.97
Wheat,241.46,68.37,180.35,6.01,23.79,213.29,22.22,101.62,20.0,10.0,30.0,10.0,95.33,30.0,81.61
Maize,142.79,69.26,399.0,6.59,39.9,661.18,24.12,200.0,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Groundnut,349.0,69.5,341.11,6.68,39.9,361.91,30.88,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,139.71,33.45,108.24,6.81,10.68,582.41,20.43,200.0,24.79,18.85,52.12,20.26,100.0,150.0,100.0
Sorghum,134.95,32.81,362.15,6.73,10.0,1065.29,29.61,61.29,20.0,10.0,30.0,10.0,66.26,46.87,57.09
Cotton,84.35,45.37,124.7,6.98,18.5,1327.82,24.29,162.38,20.0,10.0,53.66,25.17,100.0,30.0,100.0
Sorghum,172.86,32.01,148.88,6.89,18.73,1272.87,30.44,50.0,20.0,10.0,30.0,10.0,40.9,61.36,39.08
Barley,288.82,27.5,289.99,7.75,24.91,1466.67,22.05,50.0,20.0,10.0,30.0,10.0,20.0,88.75,20.0
Groundnut,169.4,44.33,160.27,6.68,12.04,216.12,21.95,50.0,47.2,18.05,100.0,50.0,20.0,150.0,20.0
Cotton,140.09,52.04,130.57,6.76,10.25,641.57,21.92,200.0,20.0,10.0,92.66,40.17,100.0,30.0,100.0
Maize,248.46,70.0,399.0,6.34,12.84,1882.55,26.04,57.4,20.0,10.0,30.0,10.0,55.67,30.0,52.01
Barley,234.13,63.87,360.99,5.93,29.19,1263.94,18.81,50.0,20.0,10.0,30.0,10.0,20.15,30.0,20.0
Groundnut,138.89,15.07,307.59,5.97,39.9,1850.79,27.08,50.0,43.16,20.84,30.0,10.0,20.0,150.0,20.0
Wheat,250.37,44.08,148.28,6.99,17.93,171.5,24.29,149.54,20.0,10.0,36.68,10.39,100.0,30.0,100.0
Rice,112.28,41.88,130.12,6.67,10.0,1106.13,29.01,183.68,20.0,10.28,30.0,10.0,100.0,126.81,100.0
Sorghum,338.83,66.36,369.35,5.93,35.73,1900.06,28.91,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,303.77,61.6,260.53,6.61,35.96,369.49,21.34,112.92,20.0,10.0,30.0,10.0,91.4,30.0,92.24
Cotton,170.54,15.33,346.28,7.46,29.49,664.8,25.19,128.89,70.25,36.84,30.0,10.0,100.0,150.0,100.0
Sorghum,258.42,58.12,309.79,7.37,19.87,1625.02,30.69,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,111.17,18.36,189.01,6.56,20.1,1267.17,23.14,118.03,52.01,22.19,30.0,10.0,96.72,150.0,82.43
Cotton,244.78,27.72,193.36,6.59,13.95,108.25,20.04,106.29,62.16,28.3,43.91,22.71,100.0,150.0,88.37
Soybean,107.18,17.18,100.0,6.56,20.22,242.83,27.49,120.66,100.0,50.0,70.16,31.48,100.0,150.0,83.28
Sorghum,264.52,53.6,199.51,6.9,15.95,601.6,29.92,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
